File: trkwebctrl
Build ID: eb53bae02d1c0cebf181d6aa585422bdebdd5c7b
Type: cpu
Time: Jul 11, 2023 at 12:45pm (MSK)
Duration: 250.20s, Total samples = 1114.10s (445.28%)
Showing nodes accounting for 974.50s, 87.47% of 1114.10s total
Dropped 1490 nodes (cum <= 5.57s)
      flat  flat%   sum%        cum   cum%
     0.01s 0.0009% 87.47%    298.02s 26.75%  lab.altkraft.com/altkraft/ledisdb/store/goleveldb.(*Iterator).Seek
     0.01s 0.0009% 87.47%      8.91s   0.8%  net/http.(*chunkWriter).Write
     0.01s 0.0009% 87.47%     62.72s  5.63%  syscall.Write (inline)
         0     0% 87.47%     47.36s  4.25%  encoding/json.(*encodeState).marshal
         0     0% 87.47%     58.26s  5.23%  github.com/gin-gonic/gin.(*Context).JSON (inline)
         0     0% 87.47%      9.88s  0.89%  github.com/gin-gonic/gin.(*responseWriter).Write
         0     0% 87.47%     58.11s  5.22%  github.com/gin-gonic/gin/render.JSON.Render
         0     0% 87.47%    132.13s 11.86%  github.com/syndtr/goleveldb/leveldb.(*DB).compactionTransact
         0     0% 87.47%    131.34s 11.79%  github.com/syndtr/goleveldb/leveldb.(*DB).tCompaction
         0     0% 87.47%    131.34s 11.79%  github.com/syndtr/goleveldb/leveldb.(*DB).tableAutoCompaction
         0     0% 87.47%    131.34s 11.79%  github.com/syndtr/goleveldb/leveldb.(*DB).tableCompaction
         0     0% 87.47%    289.69s 26.00%  github.com/syndtr/goleveldb/leveldb.(*tFilesArrayIndexer).Get
         0     0% 87.47%    484.07s 43.45%  github.com/syndtr/goleveldb/leveldb/table.(*Reader).Find (inline)
         0     0% 87.47%    424.88s 38.14%  github.com/syndtr/goleveldb/leveldb/table.(*Reader).readBlockCached.func1
         0     0% 87.47%     48.33s  4.34%  github.com/syndtr/goleveldb/leveldb/table.(*Reader).readFilterBlockCached.func1
         0     0% 87.47%    298.13s 26.76%  lab.altkraft.com/altkraft/ledisdb/store.NewRangeLimitIterator (inline)
         0     0% 87.47%      9.07s  0.81%  net/http.(*response).Write
         0     0% 87.47%     38.74s  3.48%  runtime.gcBgMarkWorker
         0     0% 87.47%     38.04s  3.41%  runtime.gcBgMarkWorker.func2
