File: trkwebctrl
Build ID: 2a6e97ebd0584c23046de2e113885e697b606e55
Type: cpu
Time: Aug 14, 2023 at 6:06pm (MSK)
Duration: 600.11s, Total samples = 2396.06s (399.27%)
Showing nodes accounting for 1708.32s, 71.30% of 2396.06s total
Dropped 1733 nodes (cum <= 11.98s)
      flat  flat%   sum%        cum   cum%
     0.35s 0.015% 70.78%     87.80s  3.66%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/static_service/web_layer.(*WebLayerStaticService).getFileData
     0.34s 0.014% 70.80%    115.55s  4.82%  github.com/yangxikun/gin-limit-by-key.NewRateLimiter.func1
     0.33s 0.014% 70.81%    337.67s 14.09%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.(*TrackingWebControl).popupEnv
     0.33s 0.014% 70.82%     98.39s  4.11%  marketingPlatform/ak/rmq/publisher.(*Publisher).runPublish.func1
     0.32s 0.013% 70.84%     19.63s  0.82%  marketingPlatform/ak/control/filecache.(*FileCache).Get (inline)
     0.32s 0.013% 70.85%     13.66s  0.57%  marketingPlatform/ak/tools.ParseCombinedID
     0.31s 0.013% 70.86%     41.29s  1.72%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.(*TrackingWebControl).sendPopupFormData
     0.30s 0.013% 70.88%     16.60s  0.69%  marketingPlatform/ak/object_logger.HandleObject.MarshalJrnObject
     0.30s 0.013% 70.89%     35.49s  1.48%  text/template.(*state).walk
     0.29s 0.012% 70.90%     40.89s  1.71%  github.com/streadway/amqp.(*Connection).send
     0.29s 0.012% 70.91%     14.58s  0.61%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.validateFormFields
     0.27s 0.011% 70.92%     18.17s  0.76%  syscall.openat
     0.26s 0.011% 70.94%    101.97s  4.26%  github.com/gin-gonic/gin.(*responseWriter).Write
     0.26s 0.011% 70.95%     91.19s  3.81%  net/http.(*response).write
     0.25s  0.01% 70.96%     51.69s  2.16%  marketingPlatform/ak/rmq/publisher.(*Publisher).publishMsg
     0.24s  0.01% 70.97%     24.38s  1.02%  bytes.growSlice
     0.24s  0.01% 70.98%     13.16s  0.55%  marketingPlatform/ak/drivers/mongodb/mgoaccounts/popups.ValidationParamFields
     0.24s  0.01% 70.99%    422.90s 17.65%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.syncReq.func3
     0.24s  0.01% 71.00%     96.88s  4.04%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.(*MatchingService).getAcidByClientFPrint
     0.24s  0.01% 71.01%     19.48s  0.81%  os.openFileNolog
     0.24s  0.01% 71.02%     14.69s  0.61%  runtime.(*mheap).alloc.func1
     0.23s 0.0096% 71.03%     14.91s  0.62%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.(*TrackingWebControl).sendPopupEvent
     0.23s 0.0096% 71.04%     65.46s  2.73%  net/http.(*Request).PostFormValue
     0.22s 0.0092% 71.04%     16.72s   0.7%  github.com/smallnest/rpcx/client.(*Client).input
     0.22s 0.0092% 71.05%     13.18s  0.55%  runtime.(*mcentral).grow
     0.21s 0.0088% 71.06%     16.30s  0.68%  crypto/rand.getRandom
     0.21s 0.0088% 71.07%    145.95s  6.09%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.(*TrackingWebControl).getWebLayerStaticFile
     0.21s 0.0088% 71.08%    146.16s  6.10%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.getFile.func2
     0.20s 0.0083% 71.09%     16.25s  0.68%  github.com/json-iterator/go.(*Decoder).Decode
     0.20s 0.0083% 71.10%     44.10s  1.84%  github.com/streadway/amqp.(*Channel).send
     0.18s 0.0075% 71.10%    389.93s 16.27%  encoding/json.(*encodeState).marshal
     0.18s 0.0075% 71.11%     12.80s  0.53%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.(*TrackingWebControl).decryptСombinedID
     0.18s 0.0075% 71.12%     18.15s  0.76%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.(*TrackingWebControl).popupContent
     0.18s 0.0075% 71.13%     45.24s  1.89%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.(*TrackingWebControl).popupEvent
     0.18s 0.0075% 71.13%     19.91s  0.83%  os.OpenFile
     0.18s 0.0075% 71.14%     56.47s  2.36%  syscall.Read (inline)
     0.17s 0.0071% 71.15%     45.41s  1.90%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.asyncReq.func3
     0.17s 0.0071% 71.16%     43.55s  1.82%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.(*MatchingService).getAcidByServerFPrint
     0.17s 0.0071% 71.16%     21.69s  0.91%  sync.runtime_notifyListWait
     0.16s 0.0067% 71.17%     17.57s  0.73%  github.com/gin-gonic/gin.(*responseWriter).WriteHeaderNow (partial-inline)
     0.16s 0.0067% 71.18%     51.64s  2.16%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/static_service/web_layer.(*WebLayerStaticService).renderedTagManagerScript
     0.16s 0.0067% 71.18%     91.35s  3.81%  net/http.(*response).Write
     0.15s 0.0063% 71.19%     67.49s  2.82%  log.(*Logger).Printf
     0.15s 0.0063% 71.20%     24.92s  1.04%  runtime.wbBufFlush
     0.15s 0.0063% 71.20%     16.87s   0.7%  syscall.Syscall6
     0.14s 0.0058% 71.21%     12.97s  0.54%  mime/multipart.(*Part).populateHeaders
     0.13s 0.0054% 71.21%     12.95s  0.54%  net/http.(*chunkWriter).close
     0.12s 0.005% 71.22%     96.94s  4.05%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.(*TrackingWebControl).specifyAci
     0.11s 0.0046% 71.22%     17.89s  0.75%  github.com/allegro/bigcache/v3.(*cacheShard).get
     0.11s 0.0046% 71.23%     12.97s  0.54%  github.com/json-iterator/go.(*Iterator).ReadVal
     0.11s 0.0046% 71.23%     88.16s  3.68%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/static_service/web_layer.(*WebLayerStaticService).GetFile
     0.11s 0.0046% 71.24%     18.91s  0.79%  runtime.gcAssistAlloc
     0.10s 0.0042% 71.24%     66.20s  2.76%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.(*TrackingWebControl).takeLimitKey
     0.10s 0.0042% 71.25%     22.57s  0.94%  strings.Split (inline)
     0.09s 0.0038% 71.25%     35.72s  1.49%  text/template.(*Template).execute
     0.08s 0.0033% 71.25%     14.12s  0.59%  github.com/leprosus/golang-ttl-map.(*Heap).handle
     0.08s 0.0033% 71.26%     22.95s  0.96%  marketingPlatform/ak/drivers/ttl.(*WebDeduplicationDB).Put
     0.08s 0.0033% 71.26%     28.42s  1.19%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.(*MatchingService).getAcidFromCache
     0.08s 0.0033% 71.26%     74.10s  3.09%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.encodeAcidCookieValue
     0.08s 0.0033% 71.27%    145.47s  6.07%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/static_service/web_layer.(*WebLayerStaticService).GetStaticFile
     0.08s 0.0033% 71.27%     26.65s  1.11%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/static_service/web_layer.(*WebLayerStaticService).renderedPopupLibrary
     0.07s 0.0029% 71.27%     26.86s  1.12%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.(*TrackingWebControl).getTemplateVariables
     0.07s 0.0029% 71.27%     66.27s  2.77%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol.(*TrackingWebControl).keyFunc
     0.06s 0.0025% 71.28%     12.38s  0.52%  github.com/segmentio/encoding/json.Parse
     0.06s 0.0025% 71.28%     44.72s  1.87%  mime/multipart.(*Reader).ReadForm (inline)
     0.05s 0.0021% 71.28%     24.69s  1.03%  runtime.wbBufFlush.func1
     0.04s 0.0017% 71.28%     66.94s  2.79%  github.com/mr-tron/base58/base58.FastBase58Encoding (inline)
     0.04s 0.0017% 71.29%     17.30s  0.72%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/static_service/web_layer.receiveCompressedFile
     0.03s 0.0013% 71.29%     15.64s  0.65%  github.com/allegro/bigcache/v3.readEntry (inline)
     0.03s 0.0013% 71.29%    442.73s 18.48%  github.com/gin-gonic/gin.(*Context).JSON (inline)
     0.03s 0.0013% 71.29%     12.42s  0.52%  marketingPlatform/ak/proc/procrpc/rpccodecs.(*SegmentioCodec).Decode
     0.03s 0.0013% 71.29%     26.24s  1.10%  marketingPlatform/ak/proc/tracking/trkwebctrl/trackingwebcontrol/services/matching_service.(*MatchingService).setAcidToCache
     0.03s 0.0013% 71.29%     19.41s  0.81%  net/textproto.(*Reader).ReadLine (inline)
     0.02s 0.00083% 71.29%     21.26s  0.89%  io.ReadFull (inline)
     0.02s 0.00083% 71.29%     23.22s  0.97%  mime/multipart.(*Reader).NextPart (inline)
     0.02s 0.00083% 71.29%     18.77s  0.78%  runtime.gcAssistAlloc1
     0.02s 0.00083% 71.29%    276.98s 11.56%  syscall.Write (inline)
     0.01s 0.00042% 71.30%    440.86s 18.40%  github.com/gin-gonic/gin/render.JSON.Render
     0.01s 0.00042% 71.30%     12.39s  0.52%  github.com/segmentio/encoding/json.Unmarshal
     0.01s 0.00042% 71.30%     52.39s  2.19%  io.Copy (inline)
     0.01s 0.00042% 71.30%     13.28s  0.55%  runtime.bgsweep
     0.01s 0.00042% 71.30%     18.18s  0.76%  syscall.Open (inline)
         0     0% 71.30%     40.37s  1.68%  compress/flate.(*Writer).Write (inline)
         0     0% 71.30%     40.37s  1.68%  compress/flate.(*compressor).write
         0     0% 71.30%     41.46s  1.73%  compress/gzip.(*Writer).Write
         0     0% 71.30%     14.47s   0.6%  github.com/matoous/go-nanoid.ID (inline)
         0     0% 71.30%     66.94s  2.79%  github.com/mr-tron/base58/base58.Encode (inline)
         0     0% 71.30%     42.67s  1.78%  marketingPlatform/ak/daemonlogger.(*LogFile).CheckFileSizeOnce
